Doc_GUID,Doc_title,Doc_titleCommon
DO-10002207,Form 10 - Application for Withdrawal of Authorisation as an Authorised Benchmark Submitter,Form 10 - Application for Withdrawal of Authorisation as an Authorised Benchmark Submitter
DO-10003811,Risk Assessment On the temporary exclusion of exchange traded derivatives from Articles 35 and 36 of MiFIR,Risk Assessment On the temporary exclusion of exchange traded derivatives from Articles 35 and 36 of MiFIR
DO-10009334,"Master Direction - Classification, Valuation and Operation of Investment Portfolio of Commercial Banks (Directions), 2021 - Amendment","Master Direction - Classification, Valuation and Operation of Investment Portfolio of Commercial Banks (Directions), 2021 - Amendment"
DO-10010134,Supervisory Policy Manual CR-S-2 Syndicated Lending,Supervisory Policy Manual CR-S-2 Syndicated Lending
DO-10011168,"Fdic announces a new resource for community banks: affordable mortgage lending guide, part ii: state housing finance agencies","Fdic announces a new resource for community banks: affordable mortgage lending guide, part ii: state housing finance agencies"
DO-10015400,Superannuation prudential standards and guidance - frequently asked questions,Superannuation prudential standards and guidance - frequently asked questions
DO-10017664,[EBA/GL/2015/17] Guidelines specifying the conditions for group financial support under Article 23 of Directive 2014/59/EU,Guidelines specifying the various conditions for the provision of group financial support
DO-10022182,Circular 2008/4 Journal,Circular 2008/4 Journal
DO-10023518,"FINANCIAL INDUSTRY REGULATORY AUTHORITY LETTER OF ACCEPTANCE, WAIVER, AND CONSENT NO. 2018058464601","FINANCIAL INDUSTRY REGULATORY AUTHORITY LETTER OF ACCEPTANCE, WAIVER, AND CONSENT NO. 2018058464601"
DO-10029082,Regulatory & Compliance Alert,Regulatory & Compliance Alert
DO-10036900,Financial Sector (Collection of Data) (reporting standard) determination No. 7 of 2020  Reporting Standard ARS 920.4 Australian Government Arts Sector Show Starter Loan (SSL) Guarantee Scheme,
DO-10041281,Industry Codes of Conduct Policy Framework,Industry Codes of Conduct Policy Framework
DO-10042443,Cybersecurity awareness resources,Cybersecurity awareness resources
DO-10043729,REGULATORY GUIDE 22 Directors’ solvency declaration,REGULATORY GUIDE 22 Directors’ solvency declaration
DO-10061046,General AMF Regulation in force from 07/30/2023 to 12/31/2023,
DO-10062298,SEBI circular on Standard Operating Procedure in the cases of Trading Member/ Clearing Member leading to default,SEBI circular on Standard Operating Procedure in the cases of Trading Member/ Clearing Member leading to default
DO-10062306,"Commission Delegated Regulation (EU) No 150/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards specifying the details of the application for registration as a trade repository (Text with EEA relevance)","Commission Delegated Regulation (EU) No 150/2013 of 19 December 2012 supplementing Regulation (EU) No 648/2012 of the European Parliament and of the Council on OTC derivatives, central counterparties and trade repositories with regard to regulatory technical standards specifying the details of the application for registration as a trade repository (Text with EEA relevance)"
DO-10062936,"Adapting IOSCO International Disclosure Standards for Shelf Registration Systems, Report of the Technical Committee of IOSCO - Mar 2001","Adapting IOSCO International Disclosure Standards for Shelf Registration Systems, Report of the Technical Committee of IOSCO - Mar 2001"
DO-10064264,Form 1A APPLICATION FOR A CAPITAL MARKETS SERVICES LICENCE FOR FUND MANAGEMENT UNDER SECTION 84(1) OF THE SECURITIES AND FUTURES ACT,Form 1A APPLICATION FOR A CAPITAL MARKETS SERVICES LICENCE FOR FUND MANAGEMENT UNDER SECTION 84(1) OF THE SECURITIES AND FUTURES ACT
DO-10065830,"The Clearing Corporation of India Ltd., Rules, 2009 (As amended in September, 2022)","The Clearing Corporation of India Ltd., Rules, 2009 (As amended in September, 2022)"
DO-10069220,"Insure4Less Teoranta t/a Kerry Insurance Group reprimanded and fined €8,400 by the Central Bank of Ireland for breaches of fitness and probity pre-approval requirements","Insure4Less Teoranta t/a Kerry Insurance Group reprimanded and fined €8,400 by the Central Bank of Ireland for breaches of fitness and probity pre-approval requirements"
DO-10069398,Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Democratic People's Republic of Korea) List 2012,Autonomous Sanctions (Designated Persons and Entities and Declared Persons – Democratic People's Republic of Korea) List 2012
DO-10083389,Security Issues and Risk mitigation measures related to Card Not Present (CNP) transactions,Security Issues and Risk mitigation measures related to Card Not Present (CNP) transactions
DO-10087821,OPENING OF DEMAT ACCOUNT IN CASE OF HINDU UNDIVIDED FAMILY (HUF),OPENING OF DEMAT ACCOUNT IN CASE OF HINDU UNDIVIDED FAMILY (HUF)
DO-10093276,Facility for submission of VAPT compliance Report in electronic form through e-PASS,Facility for submission of VAPT compliance Report in electronic form through e-PASS
DO-10095801,Concentrations: Final Guidance: Interagency Guidance on Correspondent Concentration Risks,Concentrations: Final Guidance: Interagency Guidance on Correspondent Concentration Risks
DO-10096876,Securities and futures (disclosure of interests—securities borrowing and lending) rules,Securities and futures (disclosure of interests—securities borrowing and lending) rules
DO-10112010,Implementation in respect of Mandatory Block Mechanism and Pay-in validations,Implementation in respect of Mandatory Block Mechanism and Pay-in validations
DO-10114442,"Instruction No. 2022-I-03 relating to the coverage ratio of land credit companies and housing finance companies and the regulatory statements mentioned in article 10 of CRBF regulation no. 99-10 of July 9, 1999","Instruction No. 2022-I-03 relating to the coverage ratio of land credit companies and housing finance companies and the regulatory statements mentioned in article 10 of CRBF regulation no. 99-10 of July 9, 1999"
DO-10122486,Advisory committee on financial legislation and regulation,Advisory committee on financial legislation and regulation
DO-10128425,Further amendments to Art. 120 of the Italian Consolidated Banking Act on interest compounding,Further amendments to Art. 120 of the Italian Consolidated Banking Act on interest compounding
DO-10140371,DATA PROTECTION ACT 2018 REVISED,DATA PROTECTION ACT 2018 REVISED
DO-10144255,4210. Margin Requirements,4210. Margin Requirements
DO-10151166,The Medicines and Healthcare Products Regulatory Agency Trading Fund (Amendment) (EU Exit) Order 2018,The Medicines and Healthcare Products Regulatory Agency Trading Fund (Amendment) (EU Exit) Order 2018
DO-10162191,CP20/13 Consultation on mortgages: Removing barriers to intra-group switching and helping borrowers with maturing interest-only and part-and-part mortgages,CP20/13 Consultation on mortgages: Removing barriers to intra-group switching and helping borrowers with maturing interest-only and part-and-part mortgages
DO-10167196,Terrorism Financing National Risk Assessment 2020,
DO-10169644,FCA Handbook - Listing Rules (LR),LR
DO-10175278,Law on equity savings account,Law on equity savings account
DO-10176571,Guidance Note: Guidance for Controllers on Data Security,Guidance Note: Guidance for Controllers on Data Security
DO-10177226,Facility for Conversion / modification of Sub-Type of existing demat accounts of Stock Brokers,Facility for Conversion / modification of Sub-Type of existing demat accounts of Stock Brokers
DO-10180413,Executive order of registration and publication of information on the owners of the Business Administration,Executive order of registration and publication of information on the owners of the Business Administration
DO-10185271,Materiality Criteria for Related Party Transactions,Materiality Criteria for Related Party Transactions
DO-10190094,REGULATION OF THE ENTITY OF CENTRAL COUNTERPART,REGULATION OF THE ENTITY OF CENTRAL COUNTERPART
DO-10203083,Dishonour of cheques - Modification in procedure,Dishonour of cheques - Modification in procedure
DO-10203366,DIRECTIVE 2002/47/EC OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 6 June 2002 on financial collateral arrangements,DIRECTIVE 2002/47/EC OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 6 June 2002
DO-10204323,Instruction no. 2018-i-16 repealing instruction no. 2017-i-03 on annual prudential documents to be communicated by bodies subject to the control of the acpr not covered by the solvency ii regime,Instruction no. 2018-i-16 repealing instruction no. 2017-i-03 on annual prudential documents to be communicated by bodies subject to the control of the acpr not covered by the solvency ii regime
DO-10205733,Guidelines on Counter party limits and Inter-Corporate Deposits,Guidelines on Counter party limits and Inter-Corporate Deposits
DO-10205791,Cap. 571 Securities and Futures Ordinance,Cap. 571 Securities and Futures Ordinance
DO-10209058,DELIBERATION 19 July 2005 Rules on participations and control in banks and other intermediaries and on bank financing to related parties,DELIBERATION 19 July 2005 Rules on participations and control in banks and other intermediaries and on bank financing to related parties
DO-10213400,Sustainability Disclosure Requirements (SDR)and investment labels,Sustainability Disclosure Requirements (SDR)and investment labels
DO-10216443,Code of Practice: Banking (Securitization) Code,Code of Practice: Banking (Securitization) Code 
DO-10226910,Guide to Industrial Control Systems (ICS) Security,Guide to Industrial Control Systems (ICS) Security
DO-10229118,Term Repo under Liquidity Adjustment Facility,Term Repo under Liquidity Adjustment Facility
DO-10233508,Proposed Rules 61068,Proposed Rules 61068
DO-10243719,Introduction of additional single stock futures contracts,Introduction of additional single stock futures contracts
